"License Number","Status","Type| Dup","Expir. Date","Primary Owner and Premises Addr.","Mailing Addr.","Action","Conditions","Escrow","District Code","Geo Code"
"609045","Active","12 | 1","04/30/2022","DBA: FINER THINGS COMPANY, THE                            FINER THINGS COMPANY THE                             18618 S FERRIS PL,                             RANCHO DOMINGUEZ, CA  90220-6451","475 WASHINGTON BLVD                              MARINA DEL REY, CA  90292-5287","ORI","7","","3","1900"
"609045","Active","09 | 1","04/30/2022","DBA: FINER THINGS COMPANY, THE                            FINER THINGS COMPANY THE                             18618 S FERRIS PL,                             RANCHO DOMINGUEZ, CA  90220-6451","475 WASHINGTON BLVD                              MARINA DEL REY, CA  90292-5287","ORI","7","","3","1900"
"609045","Active","17 | 1","04/30/2022","DBA: FINER THINGS COMPANY, THE                            FINER THINGS COMPANY THE                             18618 S FERRIS PL,                             RANCHO DOMINGUEZ, CA  90220-6451","475 WASHINGTON BLVD                              MARINA DEL REY, CA  90292-5287","ORI","7","","3","1900"
"609045","Active","20 | 0","04/30/2022","DBA: FINER THINGS COMPANY, THE                            FINER THINGS COMPANY THE                             18618 S FERRIS PL,                             RANCHO DOMINGUEZ, CA  90220-6451","475 WASHINGTON BLVD                              MARINA DEL REY, CA  90292-5287","ORI","7,I","","3","1900"
"609045","Active","18 | 1","04/30/2022","DBA: FINER THINGS COMPANY, THE                            FINER THINGS COMPANY THE                             18618 S FERRIS PL,                             RANCHO DOMINGUEZ, CA  90220-6451","475 WASHINGTON BLVD                              MARINA DEL REY, CA  90292-5287","ORI","7","","3","1900"
"612503","Active","23 | 0","06/30/2021","DBA: NORTHERN PINE BREWING                            NORTHERN PINE BREWING, LLC                             12841 EL CAMINO REAL , STE 301-303,                             SAN DIEGO, CA  92130-2963","326 N HORNE ST                              OCEANSIDE, CA  92054-2810","ORI","7","","9","3710"
"613683","Active","20 | 0","04/30/2022","DBA: ARCO 7049                            BP PRODUCTS NORTH AMERICA INC.                             800 E KETTLEMAN LN,                             LODI, CA  95240-5917","4 CENTERPOINTE DR                              LA PALMA, CA  90623-1015","PER","","","29","3902"
"613708","Active","20 | 0","04/30/2022","BP PRODUCTS NORTH AMERICA INC.                             ,","4 CENTERPOINTE DR                              LA PALMA, CA  90623-1015","PER","","","23","3408"
"613710","Active","20 | 0","04/30/2022","DBA: ARCO 7108                            BP PRODUCTS NORTH AMERICA INC.                             4670 CHURN CREEK RD,                             REDDING, CA  96002","4 CENTERPOINTE DR                              LA PALMA, CA  90623-1015","PER","7","","31","4502"
"613715","Active","20 | 0","08/12/2021","DBA: MARCH LANE SHELL                            BP PRODUCTS NORTH AMERICA INC.                             1206 E MARCH LN,                             STOCKTON, CA  95210-3520","4 CENTERPOINTE DR                              LA PALMA, CA  90623-1015","PER","7","","29","3905"
"614420","Active","41 | 0","04/30/2022","DBA: BURGER LOUNGE                             BURGER LOUNGE III LLC                             19515 NORDHOFF ST STE 5,                             NORTHRIDGE, CA  91324","1917 INDIA ST, STE C                              SAN DIEGO, CA  92101","ORI","7","","5","1933"
"617596","Active","20 | 0","06/30/2021","DBA: 7 ELEVEN 41341                            7 ELEVEN INC                             4415 PACIFIC AVE,                             STOCKTON, CA  95207-7601","PO BOX 219088, ATT: 7 ELEVEN LICENSING                              DALLAS, TX  75221-9088","PER","7","CALIFORNIA BUSINESS ESCROW INC 1748 MAIN ST ESCALON, CA  95320-1927","29","3905"
"617869","Active","70 | 0","04/30/2022","DBA: COURTYARD BY MARRIOTT PETALUMA                            JL CA PETALUMA BEVERAGE LLC                             700 CAULFIELD LN,                             PETALUMA, CA  94952-3486","10632 N SCOTTSDALE RD, STE 503                              SCOTTSDALE , AZ  85254","ORI","","","27","4903"
"619245","Issued-Temp.","30","09/14/2021","DBA: LUCKY'S STEAKHOUSE                            MALUCKY, LLC                             3835 CROSS CREEK RD, 18 & 18A,                             MALIBU, CA  90265-4978","114 E HALEY ST, STE O                              SANTA BARBARA, CA  93101-5323","PER","7","STEWART TITLE 1200 CALIFORNIA ST STE 120 REDLANDS, CA  92374","5","1988"
"619752","Issued-Temp.","30","09/14/2021","ALMERAYA-ESPINOZA, MARIA  EUGENIA ORALIA                             ,","","PER","","","5","1933"
"622072","Active","41 | 0","04/30/2022","DBA: BIBIS SWEET TOMATO PIZZA                            TAPIA RODRIGUEZ PROPERTYS MGMT LLC                             696 4TH ST,                             HOLLISTER, CA  95023-3640","815 TRINKLING CREEK RD                              FELTON, CA  95018-8928","ORI","7","","26","3501"
