"code","description"
"01","Inglewood
"02","Monrovia
"03","Lakewood/Long Beach
"04","Los Angeles/Metro"
"05","Van Nuys"
"06","Bakersfield"
"07","Riverfside"
"08","Rancho Mirage"
"09","San Marcos"
"10","San Diego"
"11","Santa Ana"
"12","Ventura"
"13","San Luis Obispo"
"21","Fresno"
"22","Oakland"
"23","Sacramento"
"24","San Francisco"
"25","San Jose"
"26","Salinas"
"27","Santa Rosa"
"28","Eureka"
"29","Stockton"
"30","Yuba City"
"31","Redding"
"50","Headquarters"
"51","Northern Division"
"52","Southern Division"
"75","Headquarters Licensing"
